Title,Release Year,Release Month,Release Date,Release Season,Worldwide Gross,Oscar_Win,GG_Win,BAFTA_Win,Total_Awards_Won
Batman v Superman: Dawn of Justice,2016,3,2016-03-23,Spring,874360194.0,0,0,0,0
The Girl on the Train,2016,10,2016-10-05,Awards Season,173185859.0,0,0,0,0
The Accountant,2016,10,2016-10-13,Awards Season,155560045.0,0,0,0,0
Underworld: Blood Wars,2016,11,2016-11-24,Holiday Season,81093313.0,0,0,0,0
Moonlight,2016,10,2016-10-21,Awards Season,65172611.0,1,1,1,3
Zootopia,2016,2,2016-02-11,Awards Season,1023784195.0,1,0,0,1
Your Name.,2016,8,2016-08-26,Summer Blockbuster,357986087.0,0,0,0,0
Train to Busan,2016,7,2016-07-20,Summer Blockbuster,92742323.0,0,0,0,0
The Handmaiden,2016,6,2016-06-01,Summer Blockbuster,37692886.0,0,0,0,0
Captain America: Civil War,2016,4,2016-04-27,Spring,1153296293.0,0,0,0,0
A Silent Voice: The Movie,2016,9,2016-09-17,Awards Season,30021659.0,0,0,0,0
Risen,2016,2,2016-02-18,Awards Season,46432579.0,0,0,0,0
La La Land,2016,12,2016-12-01,Holiday Season,447407695.0,1,1,1,3
Hidden Figures,2016,12,2016-12-10,Holiday Season,235956898.0,1,1,1,3
Hacksaw Ridge,2016,10,2016-10-07,Awards Season,180563636.0,1,1,1,3
Deadpool,2016,2,2016-02-09,Awards Season,782612155.0,0,0,0,0
Me Before You,2016,6,2016-06-01,Summer Blockbuster,208445075.0,0,0,0,0
Arrival,2016,11,2016-11-10,Holiday Season,203388186.0,1,1,1,3
Boyka: Undisputed IV,2016,8,2016-08-01,Summer Blockbuster,,0,0,0,0
Doctor Strange,2016,10,2016-10-25,Awards Season,677718395.0,1,0,1,2
The Conjuring 2,2016,6,2016-06-08,Summer Blockbuster,321370008.0,0,0,0,0
The Autopsy of Jane Doe,2016,12,2016-12-21,Holiday Season,,0,0,0,0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6,2016-06-01,Summer Blockbuster,245623848.0,0,0,0,0
The Magnificent Seven,2016,9,2016-09-14,Awards Season,162360636.0,0,0,0,0
Kung Fu Panda 3,2016,1,2016-01-23,Awards Season,521170825.0,0,0,0,0
Miss Peregrine's Home for Peculiar Children,2016,9,2016-09-27,Awards Season,296482446.0,0,0,0,0
Warcraft,2016,5,2016-05-25,Spring,439048914.0,0,0,0,0
Sing,2016,11,2016-11-23,Holiday Season,634151679.0,1,1,0,2
